review,sentiment,total_words,total_chars,sequence,padded
very very slow moving aimless movie distressed drifting young man,0,10,65,"[355, 355, 147, 611, 1909, 2, 1910, 1911, 1247, 356]","[ 355  355  147  611 1909    2 1910 1911 1247  356    0    0    0    0
    0    0]"
sure lost flat character audience nearly half walked out,0,9,56,"[188, 402, 612, 39, 728, 729, 357, 537, 290]",[188 402 612  39 728 729 357 537 290   0   0   0   0   0   0   0]
little music anything speak of,0,5,30,"[63, 175, 234, 917, 453]",[ 63 175 234 917 453   0   0   0   0   0   0   0   0   0   0   0]
best scene movie gerardo trying find song keep running head,1,10,59,"[18, 78, 2, 1912, 403, 148, 454, 291, 538, 539]","[  18   78    2 1912  403  148  454  291  538  539    0    0    0    0
    0    0]"
rest movie lack art charm meaning emptiness work guess empty,0,10,60,"[455, 2, 540, 235, 456, 730, 1913, 14, 358, 613]","[ 455    2  540  235  456  730 1913   14  358  613    0    0    0    0
    0    0]"
wasted two hour,0,3,15,"[359, 59, 104]",[359  59 104   0   0   0   0   0   0   0   0   0   0   0   0   0]
saw movie today thought good effort good message kid,1,9,52,"[257, 2, 360, 128, 1, 731, 1, 918, 292]",[257   2 360 128   1 731   1 918 292   0   0   0   0   0   0   0]
bit predictable,0,2,15,"[199, 320]",[199 320   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
loved casting jimmy buffet science teacher,1,6,42,"[134, 614, 1914, 236, 1915, 1916]","[ 134  614 1914  236 1915 1916    0    0    0    0    0    0    0    0
    0    0]"
baby owl adorable,1,3,17,"[919, 1917, 732]","[ 919 1917  732    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
movie showed lot florida best made look appealing,1,8,49,"[2, 920, 79, 1918, 18, 28, 48, 733]","[   2  920   79 1918   18   28   48  733    0    0    0    0    0    0
    0    0]"
song best muppets hilarious,1,4,27,"[454, 18, 1919, 734]","[ 454   18 1919  734    0    0    0    0    0    0    0    0    0    0
    0    0]"
cool,1,1,4,[200],[200   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
right case movie delivers everything almost right face,1,8,54,"[64, 52, 2, 1248, 60, 293, 64, 404]","[  64   52    2 1248   60  293   64  404    0    0    0    0    0    0
    0    0]"
average acting main person low budget clearly see,0,8,49,"[405, 57, 615, 735, 201, 616, 736, 50]",[405  57 615 735 201 616 736  50   0   0   0   0   0   0   0   0]
review long overdue since consider tale two sister single greatest film ever made,1,13,81,"[258, 89, 1920, 149, 737, 738, 59, 739, 457, 921, 5, 20, 28]","[ 258   89 1920  149  737  738   59  739  457  921    5   20   28    0
    0    0]"
put gem movie term screenplay cinematography acting post production editing directing aspect film making,1,14,104,"[259, 740, 2, 1249, 1921, 361, 57, 1922, 922, 541, 406, 741, 5, 458]","[ 259  740    2 1249 1921  361   57 1922  922  541  406  741    5  458
    0    0]"
practically perfect true masterpiece sea faux masterpiece,1,7,57,"[1250, 202, 742, 923, 1251, 1252, 923]","[1250  202  742  923 1251 1252  923    0    0    0    0    0    0    0
    0    0]"
structure film easily tightly constructed history cinema,1,7,56,"[1923, 5, 321, 1924, 924, 617, 407]","[1923    5  321 1924  924  617  407    0    0    0    0    0    0    0
    0    0]"
think film something vitally important occurs every minute,1,8,58,"[45, 5, 362, 1925, 408, 1926, 70, 54]","[  45    5  362 1925  408 1926   70   54    0    0    0    0    0    0
    0    0]"
word content level film enough easily fill dozen film,1,9,53,"[322, 1927, 542, 5, 61, 321, 1253, 925, 5]","[ 322 1927  542    5   61  321 1253  925    5    0    0    0    0    0
    0    0]"
anyone right mind ask anything movie this,1,7,41,"[129, 64, 409, 410, 234, 2, 111]",[129  64 409 410 234   2 111   0   0   0   0   0   0   0   0   0]
quite simply highest superlative form cinema imaginable,1,7,55,"[97, 203, 1254, 1928, 618, 407, 1255]","[  97  203 1254 1928  618  407 1255    0    0    0    0    0    0    0
    0    0]"
yes film require rather significant amount puzzle solving piece fit together create beautiful picture,1,14,101,"[743, 5, 1929, 237, 1930, 619, 1931, 1932, 80, 105, 411, 1256, 189, 176]","[ 743    5 1929  237 1930  619 1931 1932   80  105  411 1256  189  176
    0    0]"
